"Address","RoutingKey","Date","Price","FullMarketPrice","VATExclusive","DescriptionofProperty","PropertySizeDesc","OtherPropertiesInThisSale"
"41 GORT NA GREINE, BALLINABRANNA, CARLOW","NA","23/12/2010","149000.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"84 SANDHILLS, HACKETSTOWN ROAD, CARLOW","R93","22/12/2010","155700.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN 125 SQ METRES","NO OTHER PROPERTIES"
"31 DE LACEY ABBEY, RATHVILLY, CARLOW","R93","21/12/2010","215859.02","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","LESS THAN 38 SQ METRES","NO OTHER PROPERTIES"
"34 DE LACEY ABBEY, RATHVILLY, CARLOW","R93","21/12/2010","220264.31","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","LESS THAN 38 SQ METRES","NO OTHER PROPERTIES"
"OAK PARK, CARLOW, CARLOW","R93","21/12/2010","400000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"11 GREEN ROAD, CARLOW, CARLOW","R93","20/12/2010","180000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"65 BROWNSHILL WOOD, BROWNSHILL ROAD, CARLOW","R93","20/12/2010","179000.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"40 GORT NA GREINE, BALLINABRANNA, CARLOW","NA","17/12/2010","149000.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"68 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","17/12/2010","140088.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"DRUMMOND, ST. MULLINS, CARLOW","R95","17/12/2010","125000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"MILLBROOK, MILL LANE, CARLOW","R93","17/12/2010","60000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"ROYAL OAK STORES, ROYAL OAK, BAGANELSTOWN, CARLOW","R21","17/12/2010","177760.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"52 RATHSILLAN, CARLOW ROAD, TULLOW, CARLOW","NA","16/12/2010","127754.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"67 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","15/12/2010","140088.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"196 POLLERTON, CARLOW TOWN, CARLOW","R93","14/12/2010","92000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"196 POLLERTON, CARLOW, CARLOW","R93","14/12/2010","92000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"7  POLLERTON ROAD, CARLOW, CARLOW","R93","14/12/2010","290000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"13 SILVERPINES, TULLOW ROAD, CARLOW","R93","10/12/2010","135500.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"1 BARROWVILLE, KILKENNY RD, CARLOW, CARLOW","R93","09/12/2010","480000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"NO 39, BROWNSHILL WOOD, BROWNSHILL, CARLOW","R93","09/12/2010","149000.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"110 BROWNESHILL WOOD, BROWNESHILL ROAD, CARLOW, CARLOW","R93","08/12/2010","140088.10","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"111 BROWNESHILL WOOD, BROWNESHILL, CARLOW, CARLOW","R93","07/12/2010","175330.40","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN 125 SQ METRES","NO OTHER PROPERTIES"
"20 RATH GLEN, KILLESHIN ROAD, CARLOW, CARLOW","NA","07/12/2010","158590.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
"THE BOROUGH, HACKETSTOWN, COUNTY CARLOW, CARLOW","NA","07/12/2010","100000.00","TRUE","FALSE","SECOND-HAND DWELLING HOUSE /APARTMENT","","NO OTHER PROPERTIES"
"4  BARROWVILLE, KILKENNY ROAD, CARLOW, CARLOW","R93","06/12/2010","281938.00","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN 125 SQ METRES","NO OTHER PROPERTIES"
"49 BROWNSHILL WOOD, BROWNSHILL ROAD, CARLOW","R93","06/12/2010","92511.01","TRUE","TRUE","NEW DWELLING HOUSE /APARTMENT","GREATER THAN OR EQUAL TO 38 SQ METRES AND LESS THAN 125 SQ METRES","NO OTHER PROPERTIES"
