"Date","Price","Address","FullMarketPrice","County","RoutingKey","NewDwelling"
"21/12/2012","110132.00","149, CROSSNEEN MANOR, GRAIGUECULLEN","TRUE","Carlow","NA","TRUE"
"21/12/2012","136564.00","4 PARK GATE, SHILLELAGH ROAD, TULLOW","TRUE","Carlow","NA","TRUE"
"21/12/2012","110000.00","57 OLD BURRIN ROAD, CARLOW","TRUE","Carlow","R93","FALSE"
"21/12/2012","131000.00","CLOCHRISTIC, MILFORD","TRUE","Carlow","NA","FALSE"
"21/12/2012","150000.00","KILCOLTRIM, BORRIS","TRUE","Carlow","R95","FALSE"
"21/12/2012","59950.00","NO. 5 CASTLE PARK, GRAIGUECULLEN, CARLOW","TRUE","Carlow","NA","TRUE"
"20/12/2012","46335.00","1 CHURCH STREET, GRAIGUECULLEN, CARLOW.","TRUE","Carlow","R93","FALSE"
"20/12/2012","70000.00","17 FR. CULLEN TERRACE, RATHVILLY","TRUE","Carlow","R93","FALSE"
"20/12/2012","125753.30","39 MILFORD PARK, MILFORD, CO CARLOW","TRUE","Carlow","R93","TRUE"
"20/12/2012","150320.00","5 PARK GATE, TULLOW, CARLOW","TRUE","Carlow","R93","TRUE"
"20/12/2012","100000.00","55 KYLEMORE HILL, RATHOE","TRUE","Carlow","R93","FALSE"
"20/12/2012","190000.00","CRAANS, ARDATTIN","TRUE","Carlow","R93","FALSE"
"20/12/2012","265000.00","RATHELLEN, LEIGHLINBRIDGE","TRUE","Carlow","R93","FALSE"
"18/12/2012","120000.00","5 TALBOT TERRACE, BROWNSHILL ROAD, CARLOW","TRUE","Carlow","R93","FALSE"
"18/12/2012","43175.00","DRUMPHEA, GARRYHILL","FALSE","Carlow","R21","FALSE"
"17/12/2012","85000.00","41A CROSSNEEN MANOR, CROSSNEEN, CARLOW","TRUE","Carlow","R93","TRUE"
"17/12/2012","75000.00","KILCARRIG, BAGENALSTOWN","TRUE","Carlow","R21","FALSE"
"14/12/2012","10000.00","36 BROWNSHILL WOOD, BROWNSHILL ROAD","FALSE","Carlow","R93","FALSE"
"13/12/2012","85000.00","124 PEARSE ROAD, GRAIGUECULLEN","TRUE","Carlow","R93","FALSE"
"13/12/2012","40000.00","14 CHURCH STREET, GRAIGUECULLEN, CARLOW","TRUE","Carlow","R93","FALSE"
"13/12/2012","67000.00","CARRIGSLANEY, KILBRIDE","TRUE","Carlow","R93","FALSE"
"11/12/2012","154185.00","28 BARROWVILLE, KILKENNY ROAD, CARLOW","TRUE","Carlow","R93","TRUE"
"11/12/2012","70000.00","3 SLIABH BAWN WAY, MYSHALL","TRUE","Carlow","NA","FALSE"
"11/12/2012","125000.00","TOBINSTOWN, RATHVILLY","TRUE","Carlow","NA","FALSE"
"11/12/2012","50000.00","TOBINSTOWN, RATHVILLY","TRUE","Carlow","NA","FALSE"
"10/12/2012","132500.00","TULLOW HILL, TULLOW","TRUE","Carlow","R35","FALSE"
"07/12/2012","45000.00","1 ST. KILLIANS CRESCENT, CARLOW","TRUE","Carlow","R93","FALSE"
"07/12/2012","155000.00","25 THE ORCHARDS, TULLOW ROAD","TRUE","Carlow","R93","FALSE"
"06/12/2012","137500.00","23 THE DRIVE, CHAPELSTOWN GATE, TULLOW ROAD","TRUE","Carlow","NA","FALSE"
"05/12/2012","35200.00","15 HILLBROOK ESTATE, TULLOW","FALSE","Carlow","R93","FALSE"
"05/12/2012","119000.00","27 GRANGE COURT, POLLERTON","TRUE","Carlow","R93","FALSE"
"05/12/2012","28916.00","THE RIDGE, OLD LEIGHLIN","FALSE","Carlow","R93","FALSE"
"30/11/2012","132500.00","123 THE VALE, GRAIGUECULLEN, CARLOW","TRUE","Carlow","R93","FALSE"
"30/11/2012","27775.00","29 WOODLAWN PARK, BORRIS","FALSE","Carlow","R95","FALSE"
